24.06.2017 13:17:47 - ;10;10;100%;kut01
24.06.2017 13:17:47 - ;10;10;100%;kut01
24.06.2017 13:17:48 - ;10;10;100%;kut01
24.06.2017 13:17:49 - ;10;10;100%;kut01
24.06.2017 13:17:49 - ;10;10;100%;kut01
24.06.2017 13:17:50 - ;10;10;100%;kut01
24.06.2017 13:17:50 - ;10;10;100%;kut01
24.06.2017 13:17:50 - ;10;10;100%;kut01
24.06.2017 13:17:51 - ;10;10;100%;kut01
24.06.2017 13:17:51 - ;10;10;100%;kut01
24.06.2017 13:17:52 - ;10;10;100%;kut01
24.06.2017 13:17:52 - ;10;10;100%;kut01
24.06.2017 13:17:53 - ;10;10;100%;kut01
24.06.2017 13:17:53 - ;10;10;100%;kut01
24.06.2017 13:17:54 - ;10;10;100%;kut01
24.06.2017 13:17:54 - ;10;10;100%;kut01
24.06.2017 13:17:55 - ;10;10;100%;kut01
24.06.2017 13:17:55 - ;10;10;100%;kut01
24.06.2017 13:18:03 - ;10;10;100%;kut01
